date/time,open,high,low,close,volume
2012-07-06,80.3400,81.1200,79.6000,80.1400,842900
2012-06-29,76.4900,80.5000,75.7800,80.4800,2464800
2012-06-22,76.5300,77.9700,76.2000,76.8000,1382500
2012-06-15,76.7800,76.8300,75.4800,76.5000,1085000
2012-06-08,74.7300,77.6500,73.9000,76.5100,1725900
2012-06-01,77.0900,77.6500,74.7500,74.8100,1794100
2012-05-25,75.7700,77.9300,75.7400,76.8000,1648200
2012-05-18,79.9900,80.2000,75.8700,76.0600,2626100
2012-05-11,78.2400,81.6000,77.4000,80.7100,2407100
2012-05-04,82.0500,82.0500,78.3900,78.6300,2204900
2012-04-27,79.4200,82.4900,78.9100,82.2900,1812700
2012-04-20,81.8000,82.7400,80.5000,80.5400,2037400
2012-04-13,81.6100,83.1100,80.6900,81.4200,2444800
2012-04-05,85.6600,86.9800,82.9700,83.8600,1949000
2012-03-30,84.1900,87.1500,83.8000,86.8200,2424500
2012-03-23,85.2000,85.2900,82.9700,83.7600,1857800
2012-03-16,83.1800,85.8500,82.6100,85.4000,1883600
2012-03-09,81.3800,83.9400,79.7000,83.8100,2430400
2012-03-02,82.9900,84.8100,80.8300,81.5700,2644300
2012-02-24,83.1700,84.9000,82.8600,84.5400,1811100
2012-02-17,78.8000,83.8000,78.7800,83.3600,3811000
2012-02-10,77.5800,81.5000,77.4000,78.3900,4162600
2012-02-03,72.9300,76.7700,72.4700,76.4700,2094300
2012-01-27,71.2300,74.8800,71.0000,73.5700,3695700
2012-01-20,67.9300,71.4200,67.2700,71.4000,3001600
2012-01-13,68.5000,68.9100,67.8600,68.2600,1648423
2012-01-06,67.3900,68.8300,67.3100,68.5100,1434311
2011-12-30,64.7000,66.4200,64.0500,66.1300,1355300
2011-12-23,63.9500,65.0000,63.2700,64.9500,1722300
2011-12-16,67.1400,67.1400,63.5000,63.7000,2495500
2011-12-09,68.0300,68.6600,66.4700,68.2000,3320300
2011-12-02,64.1200,66.8600,63.9000,66.2200,2870100
2011-11-25,61.7600,62.9200,60.3700,62.1100,2297300
2011-11-18,64.2300,64.7800,63.4300,63.5600,2692400
2011-11-11,65.3100,65.4900,63.5300,64.1200,2909000
2011-11-04,67.2000,67.3600,64.5100,65.1800,3437100
2011-10-28,67.3700,69.8100,66.1500,69.6600,2865800
2011-10-21,67.5200,68.7200,66.1600,67.6100,2145300
2011-10-14,67.2000,68.3200,67.0200,67.4600,2135400
2011-10-07,68.2200,69.0900,65.3000,66.1300,2931500
2011-09-30,68.3700,70.9100,67.5700,68.2600,2622900
2011-09-23,69.8600,71.3600,66.3400,67.8500,2434200
2011-09-16,67.2300,71.5500,67.0500,70.8100,2058800
2011-09-09,67.8400,70.1400,67.5600,67.8000,2667600
2011-09-02,71.3500,72.3600,69.0300,69.3400,3473100
2011-08-26,71.5600,72.8800,70.0500,71.6500,2947200
2011-08-19,75.5600,76.2000,70.3300,70.7000,3222800
2011-08-12,76.2400,77.3000,73.0100,74.4000,4441900
2011-08-05,82.0900,82.5700,75.5100,77.4300,4170200
2011-07-29,84.0000,84.5600,81.0300,81.9200,1849000
2011-07-22,83.4900,85.4900,82.9500,85.0100,2341600
2011-07-15,83.6800,85.2400,83.3500,83.8500,2331700
2011-07-08,83.4900,84.9000,83.2300,84.4000,1518900
2011-07-01,79.6700,83.5000,79.4700,83.4500,2453400
2011-06-24,79.3500,81.6700,79.2600,81.2900,2170800
2011-06-17,80.2100,80.6600,79.0300,79.5100,2806200
2011-06-10,80.1500,82.4300,79.7300,80.6700,3257000
2011-06-03,83.3900,83.4700,80.1400,80.5100,2424000
2011-05-27,79.2900,82.3800,79.1700,82.2600,2960100
2011-05-20,82.8900,82.9900,79.7000,79.9600,2822500
2011-05-13,79.0600,84.0000,78.6200,83.3800,4895100
2011-05-06,80.7700,80.7700,78.6800,79.1000,3074500
2011-04-29,79.2900,80.1900,77.6500,79.6800,3489200
2011-04-21,76.9800,78.3100,75.8500,77.8000,2766700
2011-04-15,77.0100,78.3900,76.2600,77.6400,4047600
2011-04-08,80.2100,80.2100,75.9500,77.8800,7823000
2011-04-01,80.8500,81.5200,79.4200,80.5100,3971500
2011-03-25,83.5000,84.2800,80.2000,80.7600,6379500
2011-03-18,80.5800,82.7800,77.3600,81.5600,14718100
2011-03-11,90.3200,90.5800,84.7600,85.6500,3840200
2011-03-04,93.4100,93.9000,90.2000,90.9900,3381300
2011-02-25,91.2000,91.9000,88.5000,91.7500,3621100
2011-02-18,92.6100,93.7400,92.3500,93.2000,3353600
2011-02-11,84.7300,90.9800,84.7000,90.0500,7559400
2011-02-04,82.2000,85.1100,81.5200,84.7500,3027700
2011-01-28,82.4200,83.9800,81.1500,81.3600,2888700
2011-01-21,85.3100,85.4900,81.6200,82.0100,2356000
2011-01-14,82.1900,86.1000,82.0500,85.9600,2837100
2011-01-07,79.0200,82.9500,78.7000,82.4600,3108900
2010-12-31,77.4100,79.1200,77.4100,78.6300,1279300
2010-12-23,77.4200,78.1300,77.1200,77.6600,1076500
2010-12-17,77.8400,78.6700,77.2500,77.4800,1541800
2010-12-10,79.0000,79.4400,76.8400,77.2600,1917000
2010-12-03,77.7600,79.8100,76.5600,79.0500,3501200
2010-11-26,78.3600,78.9700,77.0800,78.3600,2241800
2010-11-19,76.2700,78.4700,74.7500,78.4700,4067300
2010-11-12,73.6000,76.4000,72.7700,75.5100,4888800
2010-11-05,70.1000,73.9200,69.3300,72.6400,4566800
2010-10-29,71.7000,71.9800,70.2900,70.8200,2931100
2010-10-22,72.0100,72.6600,71.0300,71.7000,2356300
2010-10-15,71.0100,72.4200,69.6500,71.5100,3225000
2010-10-08,70.7300,72.0600,70.5100,71.0700,1868700
2010-10-01,73.1900,73.3600,71.4500,71.8000,2524500
2010-09-24,71.9000,73.0600,70.7000,73.0600,3292400
2010-09-17,70.5000,71.9600,69.1700,71.5100,3289900
2010-09-10,69.6300,70.8000,68.8500,70.6000,3527700
2010-09-03,68.7400,69.9400,67.5600,69.7100,2818300
2010-08-27,70.5300,70.6900,68.3500,69.3600,2617000
2010-08-20,69.9900,71.9300,69.8500,70.4300,2428800
2010-08-13,72.0500,72.2500,69.6000,69.8700,3414200
2010-08-06,71.4600,74.6700,71.3500,72.5200,6629700
2010-07-30,70.9100,71.8900,68.7000,70.2300,4050400
2010-07-23,70.8800,71.7200,68.9100,71.3100,3834700
2010-07-16,70.8000,73.3400,70.0000,70.7500,3396900
2010-07-09,70.2000,71.2100,69.4200,71.0700,2138700
2010-07-02,69.5500,69.8500,68.0200,68.2600,4132800
2010-06-25,72.2500,72.5700,69.6800,70.0000,2284800
2010-06-18,71.3200,73.1100,70.9200,71.4500,3011600
2010-06-11,70.3300,71.1900,69.2500,70.8100,3501400
2010-06-04,71.9300,73.2100,70.2800,71.1000,3985100
2010-05-28,74.5800,75.5800,71.8100,72.3400,5402800
2010-05-21,76.6900,77.2500,73.0400,75.5900,5505400
2010-05-14,76.5200,78.5600,75.1000,75.4800,5074800
2010-05-07,77.3300,77.9300,72.5000,74.8900,4819600
2010-04-30,78.9600,79.3000,76.4900,77.0900,4137800
2010-04-23,78.8300,79.4400,76.1600,77.6400,4717600
2010-04-16,79.8900,80.3600,78.2700,79.3700,6898100
2010-04-09,81.0000,81.6500,78.7900,79.9200,6478700
2010-04-01,80.8000,81.6700,79.7500,80.4900,3661200
2010-03-26,79.0400,82.4600,78.8500,80.7500,6324500
2010-03-19,77.3600,79.6000,77.0100,79.5600,6166800
